team_no	utterance_no	start	end	interlocutor	utterance
17	0	48.714	51.047	A	you can't get past through the other mountains right ?
17	1	51.533	52.636	B	i don't know .
17	2	52.454	53.467	A	okay .
17	3	56.132	57.033	R	i see .
17	4	65.513	69.113	I	so you only build from something that is already connected .
17	5	69.184	69.620	B	oh .
17	6	69.254	70.323	A	oh , okay .
17	7	100.994	108.762	I	so i guess to understand better what is happening here maybe you should click the information button and read what is written .
17	8	109.368	111.061	I	do you see at the top ?
17	9	111.428	112.120	A	yeah .
17	10	112.338	113.837	I	what does it tell you ?
17	11	115.842	118.641	I	like your view and your friend's view .
17	12	119.317	120.287	A	uh okay .
17	13	129.379	131.630	A	okay so this is my view .
17	14	154.555	156.187	B	how do you go back ?
17	15	155.962	157.340	I	click on it .
17	16	165.889	168.167	A	okay bob it's your turn .
17	17	189.371	191.945	I	so you guys can talk now .
17	18	189.821	194.798	R	guys , do not hesitate to submit your solution .
17	19	195.695	199.636	R	you can submit as many times you want .
17	20	201.624	203.171	A	it's my turn again .
17	21	205.721	207.812	A	your turn .
17	22	209.748	210.787	B	should we submit ?
17	23	211.365	211.984	A	what ?
17	24	211.913	212.912	B	should we submit ?
17	25	213.221	214.262	A	yeah i think .
17	26	214.753	215.583	A	yeah it's good .
17	27	216.652	217.103	A	yeah .
17	28	218.274	221.387	R	you are away from the minimum by 9 francs .
17	29	222.438	223.691	R	let's try again .
17	30	224.915	228.438	R	by the way , you guys now also have a button
17	31	229.259	234.915	R	on the bottom of the screen in the abstract view for comparing solutions .
17	32	236.418	237.741	I	um that green button .
17	33	238.134	238.852	A	okay .
17	34	239.218	241.482	I	so this is your previous solution .
17	35	246.319	247.009	A	okay .
17	36	247.515	248.190	B	um
17	37	250.679	252.470	A	okay your turn , bob .
17	38	255.242	256.621	A	that's 3 .
17	39	261.993	263.484	A	yeah okay .
17	40	281.368	282.282	A	okay .
17	41	292.988	294.634	A	yeah okay .
17	42	311.630	319.037	A	it's better to go from mount basel to mount interlaken because that costs less money , i think .
17	43	328.561	330.179	A	okay , uh .
17	44	339.136	342.456	A	i think that cost less , then last time .
17	45	342.821	344.143	B	um yeah , let's submit .
17	46	344.354	345.254	A	yeah .
17	47	345.690	351.072	R	you are not that far from the minimum , the difference is only 7 francs .
17	48	351.944	353.560	R	i am sure you can do it .
17	49	355.362	358.597	A	oh so what's the minimum is 9 i think , wait .
17	50	359.332	362.358	A	we had the price which is 29 , so
17	51	363.230	365.521	A	i think we used to do it one more time .
17	52	366.213	366.767	B	um
17	53	367.416	368.779	A	okay your turn first .
17	54	369.303	371.565	A	why don't you go from a different mountain this time ?
17	55	372.829	374.402	B	maybe mount bern ?
17	56	376.700	377.329	A	where ?
17	57	377.449	378.452	B	mount bern .
17	58	378.559	379.877	A	okay start from there .
17	59	381.694	383.476	A	maybe go to mount basel after .
17	60	384.588	386.490	A	that might cost less .
17	61	388.442	390.799	A	yeah , and then go to mount zurich .
17	62	394.146	394.805	A	yeah .
17	63	395.044	397.471	A	oh no that costs more .
17	64	397.775	398.688	A	uh
17	65	398.179	399.707	B	we should erase it .
17	66	400.101	401.823	A	yeah , i'll erase it .
17	67	403.327	405.170	A	that , that's better okay .
17	68	405.589	408.755	A	so , go from mount bern
17	69	409.279	412.320	A	to straight to mount zurich i think maybe that's better .
17	70	413.065	414.637	A	that would cost a lot .
17	71	414.877	416.195	A	yeah .
17	72	416.959	419.430	A	then mount saint gallen maybe ?
17	73	422.988	425.449	A	yeah , it's better .
