team_no	attempt_no	turn_no	event_no	time	subject	verb	object
33	1	1	1	0.342	R	shows	observe gesture
33	1	1	2	0.407	R	says	so, ann and bob, let's start building the tracks. i count on you guys. are you ready? also, you need to play this game together, as both of you will see different views at all times. you can talk now to help each other. to see my instructions again, check the information icon on your screens. time to play. let's go!
33	1	1	3	44.461	A	adds	Interlaken-Montreux (5-6)
33	1	1	4	46.808	A	adds	Zermatt-Montreux (4-6)
33	1	2	5	51.492	A	presses	help (enabled)
33	1	2	6	53.970	R	shows	thinking gesture
33	1	2	7	53.982	R	says	hmm, i see.
33	1	2	8	54.764	B	presses	help (enabled)
33	1	2	9	98.969	R	shows	observe gesture
33	1	2	10	105.874	A	presses	submit (disabled)
33	1	2	11	121.496	B	adds	Zermatt-Interlaken (4-5)
33	1	2	12	147.876	B	adds	Zermatt-Davos (4-9)
33	1	3	13	153.221	A	adds	Luzern-Zermatt (1-4)
33	1	3	14	154.768	A	adds	Luzern-Bern (1-3)
33	1	4	15	156.361	B	presses	help (enabled)
33	1	4	16	158.970	R	shows	thinking gesture
33	1	4	17	159.003	R	says	hmm, i see.
33	1	4	18	171.068	B	adds	Montreux-Neuchatel (6-7)
33	1	4	19	181.143	B	adds	Neuchatel-Bern (7-3)
33	1	5	20	186.513	A	adds	Gallen-Davos (8-9)
33	1	5	21	189.735	A	adds	Zurich-Gallen (2-8)
33	1	6	22	197.290	R	shows	observe gesture
33	1	6	23	197.969	B	adds	Basel-Neuchatel (0-7)
33	1	6	24	221.410	B	adds	Basel-Zurich (0-2)
33	1	7	25	238.896	A	adds	Luzern-Zurich (1-2)
33	1	7	26	241.796	A	adds	Basel-Bern (0-3)
33	1	8	27	244.341	A	presses	submit (enabled)
33	1	8	28	248.528	B	adds	Interlaken-Bern (5-3)
33	1	8	29	253.445	B	adds	Luzern-Davos (1-9)
33	1	9	30	265.767	A	adds	Luzern-Interlaken (1-5)
33	1	9	31	281.340	A	adds	Zurich-Bern (2-3)
33	1	10	32	286.711	B	adds	Interlaken-Neuchatel (5-7)
33	1	10	33	295.625	B	adds	Zurich-Davos (2-9)
33	1	11	34	299.903	A	presses	submit (enabled)
